name,poi_id,cate,lat,lng,COMMUNITY,AREA_NUMBE
,880,corporations,41.8644302,-87.6386247,NEAR WEST SIDE,28.0
Continental Paper Grading Company,882,corporations,41.8593066,-87.6353785,NEAR WEST SIDE,28.0
Aon Center,914,corporations,41.8852816,-87.6215145,LOOP,32.0
Two Prudential Plaza,915,corporations,41.885415,-87.6226781,LOOP,32.0
Kemper Building,916,corporations,41.8865037,-87.6274194,LOOP,32.0
Leo Burnett Building,917,corporations,41.886424,-87.6290483,LOOP,32.0
77 West Wacker,918,corporations,41.8865148,-87.6305374,LOOP,32.0
,919,corporations,41.8862729,-87.6350685,LOOP,32.0
190 South Lasalle,922,corporations,41.8797471,-87.6326817,LOOP,32.0
330 North Wabash,925,corporations,41.8886533,-87.6275893,NEAR NORTH SIDE,8.0
Insurance Exchange Building,929,corporations,41.8774991,-87.633206,LOOP,32.0
Federal Reserve Bank of Chicago,930,corporations,41.8784439,-87.6330098,LOOP,32.0
Bank of America Center,931,corporations,41.8784824,-87.631499,LOOP,32.0
Bank of America Building,933,corporations,41.8797582,-87.6315383,LOOP,32.0
Three First National Plaza,935,corporations,41.8823365,-87.6298967,LOOP,32.0
One North LaSalle,936,corporations,41.8823103,-87.6320179,LOOP,32.0
,937,corporations,41.8823123,-87.6327948,LOOP,32.0
10 South Riverside Plaza,938,corporations,41.8812397,-87.6391273,NEAR WEST SIDE,28.0
Marmon Building,939,corporations,41.8828448,-87.6349839,LOOP,32.0
Wrigley Building,951,corporations,41.8897344,-87.6248659,NEAR NORTH SIDE,8.0
Monadnock Building,967,corporations,41.8775268,-87.6295523,LOOP,32.0
Fisher Building,968,corporations,41.8772001,-87.6290017,LOOP,32.0
Chicago Bar Assocication Building,969,corporations,41.8776089,-87.6284449,LOOP,32.0
The Standard Club,970,corporations,41.877678,-87.6290148,LOOP,32.0
The Rookery,974,corporations,41.8790571,-87.6318039,LOOP,32.0
TransUnion Building,977,corporations,41.8778539,-87.6313013,LOOP,32.0
,989,corporations,41.87843,-87.6344847,LOOP,32.0
200 West Jackson,990,corporations,41.8784341,-87.6340889,LOOP,32.0
Insurance Center Building,998,corporations,41.8770412,-87.6340036,LOOP,32.0
,1009,corporations,41.8795288,-87.6334355,LOOP,32.0
303 East Wacker,1168,corporations,41.8872932,-87.6202593,LOOP,32.0
Blue Cross-Blue Shield Tower,1170,corporations,41.8848501,-87.6198425,LOOP,32.0
,1212,corporations,41.9603339,-87.9231906,OHARE,76.0
,1215,corporations,41.8828461,-87.632893,LOOP,32.0
Gateway Center IV,1302,corporations,41.8774117,-87.6384618,NEAR WEST SIDE,28.0
333 Wacker Drive,1303,corporations,41.8860954,-87.6359147,LOOP,32.0
Holding Barn,1330,corporations,41.91662,-87.6335039,LINCOLN PARK,7.0
Reid-Murdoch Center,1399,corporations,41.8880991,-87.6318596,NEAR NORTH SIDE,8.0
321 North Clark,1427,corporations,41.8882523,-87.6306252,NEAR NORTH SIDE,8.0
Boeing World Headquarters,1474,corporations,41.8838478,-87.6387349,NEAR WEST SIDE,28.0
Builders Building,1478,corporations,41.8865093,-87.6332461,LOOP,32.0
,1479,corporations,41.8815949,-87.6327282,LOOP,32.0
Edison Building,1481,corporations,41.879779,-87.6303438,LOOP,32.0
Gage Building,1482,corporations,41.8814761,-87.6249508,LOOP,32.0
Marquette Building,1484,corporations,41.8797881,-87.6297536,LOOP,32.0
181 West Madison,1485,corporations,41.881581,-87.6333791,LOOP,32.0
Pittsfield Building,1486,corporations,41.8829486,-87.6257243,LOOP,32.0
Two First National Building,1488,corporations,41.8812629,-87.6311615,LOOP,32.0
Florsheim Tower,1490,corporations,41.8860767,-87.6330448,LOOP,32.0
Chase LaSalle Street Building,1491,corporations,41.8803228,-87.6328219,LOOP,32.0
